kernel                           avg_us  dram_GBps  full_GBps    n
r_16_8_32                          2.08          4         37  162
r_1024_4_8_2_4_4_4                14.39        585       2057   64
r_1792_8_4_1024_64_4_4_4         524.37        448       1346   64
r_4096_2_16_28_4_4               164.55        714       1536   64
r_8_64_2_4_8_2_8_4_4              14.20        620       2116   32
r_4096_32_32_4                    52.27        963       1625   32
r_8_32_2_4_2_8_2_32_4             14.30        616       2099   32
r_4096_4_8_8_4_4                  49.23        682       2402   32
r_(start_pos+1)_2_8_8_2_8_2        3.22         13         22   32
r_16_2_(start_pos+1)               1.49          0          0   32
r_16_2_(start_pos+1)n1             1.46          0          0   32
r_32_4_8_2_2_(start_pos+1)         1.81         23         23   32
r_4096_2_16_32_4                  48.37        694       1756   32
batched 32                      1699.58        524       1473   12
batched 64                      3454.58        526       1474   12
batched 128                     8023.61        520       1459   12
